dataset,method,classifier,fold,kfold,fmin,gmin,max_size,svc_C,pattern_type,closed_multiset,accuracy,pattern_number,extraction_time,time
asl-bu,occurrence,SVC,1,5,0.6,0.0,4,0.001,relevant,True,0.367816091954023,83,10.875826135961688,17.00349242000084
asl-bu,occurrence,SVC,1,5,0.6,0.0,4,0.01,relevant,True,0.367816091954023,83,10.875826135961688,16.996931936999317
asl-bu,occurrence,SVC,1,5,0.6,0.0,4,0.1,relevant,True,0.40229885057471265,83,10.875826135961688,16.991946565991384
asl-bu,occurrence,SVC,1,5,0.6,0.0,4,1,relevant,True,0.5747126436781609,83,10.875826135961688,16.98839793499792
asl-bu,occurrence,SVC,1,5,0.6,0.0,4,10,relevant,True,0.6781609195402298,83,10.875826135961688,16.985614340999746
asl-bu,occurrence,SVC,1,5,0.6,0.0,4,100,relevant,True,0.6091954022988506,83,10.875826135961688,16.98589878999337
asl-bu,occurrence,SVC,1,5,0.6,0.0,4,1000,relevant,True,0.6091954022988506,83,10.875826135961688,16.986280033001094
asl-bu,occurrence,SVC,2,5,0.6,0.0,4,0.001,relevant,True,0.367816091954023,87,11.984890820996952,17.4429459819803
asl-bu,occurrence,SVC,2,5,0.6,0.0,4,0.01,relevant,True,0.367816091954023,87,11.984890820996952,17.443965375990956
asl-bu,occurrence,SVC,2,5,0.6,0.0,4,0.1,relevant,True,0.4367816091954023,87,11.984890820996952,17.44366442899627
asl-bu,occurrence,SVC,2,5,0.6,0.0,4,1,relevant,True,0.5402298850574713,87,11.984890820996952,17.439306364991353
asl-bu,occurrence,SVC,2,5,0.6,0.0,4,10,relevant,True,0.5747126436781609,87,11.984890820996952,17.43741866797791
asl-bu,occurrence,SVC,2,5,0.6,0.0,4,100,relevant,True,0.5747126436781609,87,11.984890820996952,17.437766142989858
asl-bu,occurrence,SVC,2,5,0.6,0.0,4,1000,relevant,True,0.5402298850574713,87,11.984890820996952,17.44126872299239
asl-bu,occurrence,SVC,3,5,0.6,0.0,4,0.001,relevant,True,0.367816091954023,87,10.57934774197929,15.85178667899163
asl-bu,occurrence,SVC,3,5,0.6,0.0,4,0.01,relevant,True,0.367816091954023,87,10.57934774197929,15.852976332986145
